City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
528,Townsville,AU,-19.25,146.8,85.08,84,75,6.91,broken clouds
529,Sola,VU,-13.8833,167.55,81.46,76,89,5.79,overcast clouds
530,Xiaoweizhai,CN,26.1903,107.5125,53.87,97,100,3.56,overcast clouds
531,Mikuni,JP,36.2171,136.1519,46.31,64,79,13.31,broken clouds
532,San Borja,BO,-14.8167,-66.85,79.0,87,99,5.08,overcast clouds
533,Byron Bay,AU,-28.65,153.6167,71.55,95,25,9.95,light rain
534,Sioux Lookout,CA,50.1001,-91.917,7.18,43,40,0.0,scattered clouds
535,Filadelfia,US,39.9523,-75.1638,37.18,36,40,8.05,scattered clouds
536,Oktyabrskoye,RU,43.0645,44.7417,39.34,80,75,4.47,broken clouds
537,Nuuk,GL,64.1835,-51.7216,32.61,40,75,11.5,broken clouds
538,Zamora,EC,-4.0692,-78.9567,78.04,55,95,4.99,light rain
539,Sanandaj,IR,35.3144,46.9923,39.22,33,20,11.5,few clouds
540,Longyan,CN,25.1072,117.0225,63.46,90,19,2.8,few clouds
541,Arlit,NE,18.7369,7.3853,94.08,5,67,8.97,broken clouds
542,Saint-Gilles,FR,43.6766,4.4302,63.55,34,0,8.05,clear sky
543,Seoul,KR,37.5683,126.9778,43.99,65,20,10.36,dust
544,Saint Anthony,US,45.0205,-93.218,31.3,48,100,12.66,overcast clouds
545,Harvard,US,42.4222,-88.6137,38.53,63,95,9.93,overcast clouds
546,Pasighat,IN,28.0667,95.3333,66.7,51,9,3.62,clear sky
547,Beitbridge,ZW,-22.2167,30.0,87.15,32,5,11.21,clear sky
548,Bilma,NE,18.6853,12.9164,87.85,8,94,5.91,overcast clouds
549,Luangwa,ZM,-15.6167,30.4167,77.83,77,36,3.42,scattered clouds
550,Ugoofaaru,MV,5.6667,73.0,82.45,66,32,5.82,scattered clouds
551,Katherine,AU,-14.4667,132.2667,82.72,74,71,6.91,broken clouds
552,Qeshm,IR,26.9581,56.2719,73.29,69,100,10.38,overcast clouds
553,Tres Arroyos,AR,-38.3739,-60.2798,91.04,23,1,9.93,clear sky
554,Bernburg,DE,51.8,11.7333,38.95,70,100,3.24,overcast clouds
555,Pa Sang,TH,18.5262,98.9394,87.37,40,26,3.71,scattered clouds
556,Bontang,ID,0.1333,117.5,79.09,84,90,2.82,overcast clouds
