City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
471,Inirida,CO,75.0,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
473,Vila Do Maio,CV,79.59,clear sky,15.1333,-23.2167,Hotel Marilu
476,Kavieng,PG,81.28,moderate rain,-2.5744,150.7967,Nusa Island Retreat
478,San Isidro,PE,81.25,clear sky,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
485,Honiara,SB,79.2,broken clouds,-9.4333,159.95,Heritage Park Hotel
488,Titlagarh,IN,78.37,broken clouds,20.3,83.15,Jalaram Lodging & Boarding
491,Lakhnadon,IN,75.18,few clouds,22.6,79.6,HOTEL PRIDE
492,Chuy,UY,85.51,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
493,Isangel,VU,78.31,overcast clouds,-19.55,169.2667,Tanna Lodge
496,Mbaiki,CF,82.6,broken clouds,3.8678,17.9892,Motel MBM
497,Kesinga,IN,78.84,broken clouds,20.2,83.2333,Hotel Jayashree
505,Dhidhdhoo,MV,82.71,overcast clouds,6.8833,73.1,Dhidhoo beach
515,Jizan,SA,81.54,few clouds,17.3333,42.6667,شهدان. ابوالحجر
516,Monrovia,LR,85.77,broken clouds,6.3005,-10.7969,Sunset Inn
527,Doha,QA,77.31,clear sky,25.2867,51.5333,Movenpick Hotel Doha
528,Townsville,AU,85.08,broken clouds,-19.25,146.8,Rydges Southbank Townsville
529,Sola,VU,81.46,overcast clouds,-13.8833,167.55,Leumerus Bungalows
538,Zamora,EC,78.04,light rain,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
547,Beitbridge,ZW,87.15,clear sky,-22.2167,30.0,Beitbridge Express Hotel
548,Bilma,NE,87.85,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
549,Luangwa,ZM,77.83,scattered clouds,-15.6167,30.4167,Gerasimos Safari Lodge
550,Ugoofaaru,MV,82.45,scattered clouds,5.6667,73.0,Ungoofaaru Inn
551,Katherine,AU,82.72,broken clouds,-14.4667,132.2667,Pine Tree Motel
555,Pa Sang,TH,87.37,scattered clouds,18.5262,98.9394,โรงแรม จามจุรี 99
556,Bontang,ID,79.09,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
565,Coahuayana,MX,85.48,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
567,Guanica,PR,86.25,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
571,Parit Raja,MY,77.31,overcast clouds,1.8681,103.1124,RG Grand Hotel
574,Binga,ZW,77.85,light rain,-17.6203,27.3414,Lakeview Inn Binga
576,Chokwe,MZ,79.83,clear sky,-24.5333,32.9833,Complexo Sonho Real
577,Carupano,VE,81.84,broken clouds,10.6678,-63.2585,Hotel La dorada
581,Palenque,MX,77.16,few clouds,17.5167,-91.9667,Hotel Chablis Palenque
585,Harper,LR,83.3,light rain,4.375,-7.7169,Screensaver
592,Sabang,ID,82.44,broken clouds,5.8933,95.3214,Hotel Citra
594,Eyl,SO,76.3,overcast clouds,7.9803,49.8164,Amiin Hotel
595,Arcelia,MX,87.58,clear sky,18.2833,-100.2667,C. GENERAL NAVOR MENDOZA
597,Djambala,CG,75.61,broken clouds,-2.5447,14.7533,Hotel Ravin D'or
598,Vao,NC,78.82,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
606,Sulangan,PH,80.11,broken clouds,11.1373,123.7228,Maia's Beach Resort
608,Anloga,GH,88.02,broken clouds,5.7947,0.8973,Pin Drop Hotel
618,Pilar,BR,82.33,moderate rain,-9.5972,-35.9567,Pousada e churrascaria Manguaba
620,Labuhan,ID,79.0,light rain,-6.8844,112.2051,DoubleFAG
621,Sao Jose Da Coroa Grande,BR,84.85,light rain,-8.8978,-35.1478,Crôa Mares Hotel
625,Saraland,US,76.05,clear sky,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
628,Asosa,ET,78.06,broken clouds,10.0667,34.5333,Blendana Hotel Assosa
630,Kavaratti,IN,82.56,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
631,Kollam,IN,84.07,broken clouds,8.8833,76.6,The Raviz Ashtamudi
632,Mogadishu,SO,78.75,overcast clouds,2.0371,45.3438,Hotel Juba
635,Grenville,GD,86.05,broken clouds,12.1167,-61.6167,Valley Breeze Guest House
637,Rocha,UY,89.71,clear sky,-34.4833,-54.3333,Hotel Arrarte
646,Melchor De Mencos,GT,80.6,few clouds,17.0686,-89.1522,Xultun Farm
647,Paragominas,BR,80.96,overcast clouds,-2.9667,-47.4833,INOVA
650,Porto Nacional,BR,87.8,light rain,-10.7081,-48.4172,Vila Real Hotel
660,Porto Novo,BJ,85.59,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
662,Mae Hong Son,TH,75.51,scattered clouds,19.3003,97.9685,Baiyoke Chalet Hotel
665,Bolobo,CD,81.1,broken clouds,-2.1667,16.2333,Hotel de Stephen
667,Nicoya,CR,89.74,scattered clouds,10.1483,-85.452,Las Cabinas Del Sueño
669,Acarau,BR,85.57,light rain,-2.8856,-40.12,castelo pizzaria
670,Bairiki,KI,80.6,light rain,1.3292,172.9752,Tarawa Boutique Hotel
674,Maracas,BR,77.16,moderate rain,-13.4411,-40.4308,Pousada Vale Aprazível
676,Tual,ID,83.25,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
682,Isla Mujeres,MX,82.45,scattered clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
684,Manta,EC,83.98,few clouds,-0.95,-80.7333,Balandra Hotel
686,The Valley,AI,83.1,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
