City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Mataura,NZ,2022-03-02 14:53:15,-46.1927,168.8643,43.48,97,44,2.66
89,Litovko,RU,2022-03-02 14:53:16,49.2361,135.1742,-11.24,100,92,1.36
90,Ancud,CL,2022-03-02 14:47:30,-41.8697,-73.8203,67.42,94,100,6.8
91,High Level,CA,2022-03-02 14:54:16,58.5169,-117.136,-2.09,71,75,9.22
92,Riyadh,SA,2022-03-02 14:54:17,24.6877,46.7219,87.94,16,0,11.97
93,At-Bashi,KG,2022-03-02 14:54:17,41.1702,75.8106,13.77,80,32,2.33
94,Odweyne,SO,2022-03-02 14:54:17,9.4092,45.064,78.82,33,29,17.18
95,Belozerskoye,RU,2022-03-02 14:54:18,55.8214,65.5842,22.82,92,18,13.02
96,Tsabong,BW,2022-03-02 14:54:18,-26.0217,22.401,94.75,18,75,3.4
97,Touros,BR,2022-03-02 14:54:19,-5.1989,-35.4608,90.5,59,95,12.91
98,Port Augusta,AU,2022-03-02 14:54:19,-32.5,137.7667,68.14,64,0,8.01
99,Aswan,EG,2022-03-02 14:52:20,24.0934,32.907,92.5,19,0,4.61
100,Mahebourg,MU,2022-03-02 14:54:20,-20.4081,57.7,82.69,78,40,8.05
101,Puerto Ayora,EC,2022-03-02 14:54:20,-0.7393,-90.3518,80.56,86,85,5.01
102,Comodoro Rivadavia,AR,2022-03-02 14:54:20,-45.8667,-67.5,60.66,36,0,6.91
103,Meulaboh,ID,2022-03-02 14:54:21,4.1363,96.1285,78.19,88,78,4.12
104,Katsuura,JP,2022-03-02 14:54:21,35.1333,140.3,50.18,70,61,6.29
105,Faanui,PF,2022-03-02 14:54:22,-16.4833,-151.75,81.84,67,100,20.29
106,Bethel,US,2022-03-02 14:52:00,41.3712,-73.414,43.48,67,75,6.91
107,Hambantota,LK,2022-03-02 14:54:22,6.1241,81.1185,79.14,89,40,9.22
108,Tasiilaq,GL,2022-03-02 14:54:23,65.6145,-37.6368,24.84,79,100,55.16
109,Namibe,AO,2022-03-02 14:54:23,-15.1961,12.1522,78.12,77,100,7.18
110,Adrar,MR,2022-03-02 14:54:24,20.5022,-10.0711,86.67,14,14,15.57
111,Kavieng,PG,2022-03-02 14:47:35,-2.5744,150.7967,78.82,83,100,12.35
112,Cape Town,ZA,2022-03-02 14:51:27,-33.9258,18.4232,75.61,68,40,18.41
113,Makakilo City,US,2022-03-02 14:54:24,21.3469,-158.0858,69.28,86,0,0.0
114,Lofthus,NO,2022-03-02 14:54:25,59.9468,10.8018,48.4,78,0,3.51
115,Valparaiso,CL,2022-03-02 14:54:25,-33.0393,-71.6273,65.84,63,0,10.36
116,Buraydah,SA,2022-03-02 14:54:25,26.326,43.975,90.05,16,39,7.4
117,Shancheng,CN,2022-03-02 14:54:26,34.7953,116.0817,48.96,34,2,6.91
118,Puerto Escondido,MX,2022-03-02 14:54:27,15.85,-97.0667,82.04,47,6,2.1
119,Nuuk,GL,2022-03-02 14:50:38,64.1835,-51.7216,11.55,88,100,4.34
120,Skibbereen,IE,2022-03-02 14:54:27,51.55,-9.2667,49.8,91,100,11.1
121,Bilma,NE,2022-03-02 14:54:27,18.6853,12.9164,93.85,5,8,6.87
122,Vardo,NO,2022-03-02 14:48:44,70.3705,31.1107,30.18,80,0,12.66
123,Butaritari,KI,2022-03-02 14:54:28,3.0707,172.7902,80.11,85,17,11.99
124,Lermontovka,RU,2022-03-02 14:54:28,47.1453,134.3383,1.45,100,95,1.12
125,Upernavik,GL,2022-03-02 14:54:29,72.7868,-56.1549,-6.92,80,11,9.15
126,Kamaishi,JP,2022-03-02 14:54:29,39.2667,141.8833,36.19,69,36,4.54
127,Tiarei,PF,2022-03-02 14:54:30,-17.5333,-149.3333,75.22,73,29,19.55
128,Jamestown,US,2022-03-02 14:49:51,42.097,-79.2353,33.3,49,49,1.99
129,Bang Saphan,TH,2022-03-02 14:54:30,11.2126,99.5117,77.54,89,30,0.45
130,Bambous Virieux,MU,2022-03-02 14:54:31,-20.3428,57.7575,82.65,78,40,8.05
131,Virginia Beach,US,2022-03-02 14:45:17,36.8529,-75.978,59.05,57,0,6.91
132,Nemuro,JP,2022-03-02 14:54:31,43.3236,145.575,25.88,78,98,4.56
133,Provideniya,RU,2022-03-02 14:54:32,64.3833,-173.3,11.01,96,56,9.35
134,Buenaventura,CO,2022-03-02 14:53:07,3.8801,-77.0312,79.9,85,94,2.28
135,Salalah,OM,2022-03-02 14:54:32,17.0151,54.0924,76.41,61,0,2.04
136,Carnarvon,AU,2022-03-02 14:54:33,-24.8667,113.6333,73.47,56,0,31.07
137,Cayenne,GF,2022-03-02 14:52:11,4.9333,-52.3333,84.24,82,75,13.8
138,Inirida,CO,2022-03-02 14:55:33,3.8653,-67.9239,79.92,81,99,2.75
139,Karratha,AU,2022-03-02 14:55:34,-20.7377,116.8463,92.8,41,82,7.36
140,Liku,ID,2022-03-02 14:55:34,-0.7275,119.8922,76.06,95,100,2.01
141,Omboue,GA,2022-03-02 14:55:34,-1.5746,9.2618,85.68,66,70,9.84
142,Hobart,AU,2022-03-02 14:53:10,-42.8794,147.3294,66.06,86,75,8.05
143,Thompson,CA,2022-03-02 14:55:35,55.7435,-97.8558,-23.64,76,20,6.91
144,Yatou,CN,2022-03-02 14:55:36,37.15,122.3833,38.25,52,0,4.05
145,Clyde River,CA,2022-03-02 14:55:36,70.4692,-68.5914,7.03,85,100,28.77
146,Purpe,RU,2022-03-02 14:55:36,64.4803,76.6897,-1.34,92,100,9.28
147,Vanimo,PG,2022-03-02 14:48:47,-2.6741,141.3028,77.02,88,100,1.77
148,Chifeng,CN,2022-03-02 14:55:37,42.2683,118.9636,23.83,51,3,0.83
149,Jeremie,HT,2022-03-02 14:55:37,18.65,-74.1167,81.19,63,4,4.25
150,New Norfolk,AU,2022-03-02 14:46:07,-42.7826,147.0587,65.7,98,15,1.57
151,Mlalo,TZ,2022-03-02 14:55:38,-4.9333,38.9333,83.05,65,3,12.1
